student_id,state,school_type,gender,age,class_level,distance_to_school_km,household_income_band,parent_education_level,num_siblings,part_time_work,has_scholarship,family_support,health_issues,attendance_rate_pct,term1_avg_score,term2_avg_score,term3_avg_score,overall_avg_score,extracurricular_involvement,risk_score_raw,dropout_risk_level
STU0021,Kano,Public,Male,14,SS1,0.6,Low,Tertiary,0,No,No,Yes,No,73.6,55.3,59.8,77.1,64.1,No,32.5,Low
STU0022,Plateau,Private,Male,10,JSS1,2.2,Low,Secondary,4,No,No,Yes,No,89.2,64.3,59.8,84.1,69.4,No,30.0,Low
STU0023,Rivers,Public,Female,14,JSS3,6.0,Middle,Secondary,4,No,No,No,Yes,74.3,68.5,59.6,54.7,60.9,No,39.9,Medium
STU0024,Benue,Public,Female,11,JSS3,15.6,Low,None,7,No,No,Yes,No,74.9,34.5,61.7,48.3,48.2,Yes,69.4,High
STU0025,Anambra,Public,Female,16,JSS3,2.3,Low,Primary,5,Yes,No,Yes,No,73.6,64.8,47.4,51.5,54.6,Yes,52.2,Medium
STU0026,Enugu,Private,Male,14,SS2,9.3,Low,Tertiary,3,No,No,Yes,No,77.5,64.6,86.5,78.9,76.7,No,52.2,Medium
STU0027,Sokoto,Private,Female,17,SS3,1.2,Middle,Primary,1,No,No,Yes,No,88.7,44.2,77.1,43.9,55.1,Yes,14.1,Low
STU0028,Kaduna,Public,Female,17,JSS2,1.1,Middle,Secondary,7,No,No,No,No,89.7,40.0,69.7,54.0,54.6,No,32.4,Low
STU0029,Lagos,Public,Male,10,SS3,9.1,Low,Secondary,6,No,No,No,No,63.6,46.6,48.2,51.2,48.7,Yes,75.6,High
STU0030,Edo,Public,Male,11,JSS2,1.8,Low,Tertiary,0,No,No,No,No,87.3,68.8,75.0,50.7,64.8,Yes,36.4,Medium
STU0031,Edo,Private,Female,11,JSS2,8.7,Low,Primary,3,No,No,No,No,81.9,50.7,45.5,60.6,52.3,No,48.4,Medium
STU0032,Kano,Public,Male,12,JSS3,3.6,Low,Secondary,2,Yes,No,Yes,No,66.2,52.3,61.5,41.1,51.6,Yes,69.1,High
STU0033,Rivers,Private,Female,15,SS1,2.7,Low,None,1,No,No,Yes,No,81.8,45.4,54.6,72.1,57.4,Yes,32.0,Low
STU0034,Imo,Public,Female,16,SS3,0.7,Low,Secondary,2,Yes,No,No,No,67.4,33.6,43.1,56.6,44.4,Yes,55.7,Medium
STU0035,Sokoto,Private,Female,16,JSS2,1.9,Low,Primary,3,Yes,No,Yes,No,69.1,69.7,62.6,51.5,61.3,No,66.2,High
STU0036,Borno,Public,Female,11,SS1,1.9,Low,Secondary,0,Yes,No,Yes,No,82.8,54.9,53.6,48.4,52.3,No,43.8,Medium
STU0037,Anambra,Public,Male,13,SS2,3.5,High,Tertiary,2,No,No,Yes,No,94.3,76.8,94.2,89.0,86.7,Yes,2.6,Low
STU0038,Enugu,Public,Female,13,JSS1,3.8,Low,None,7,Yes,No,No,No,67.2,16.0,44.7,51.9,37.5,No,68.0,High
STU0039,Kano,Public,Female,10,SS1,0.9,Low,None,6,No,No,Yes,No,86.2,49.9,55.8,52.4,52.7,No,28.0,Low
STU0040,Sokoto,Private,Female,12,SS3,4.3,Low,Tertiary,1,No,No,Yes,No,81.0,87.8,65.1,70.6,74.5,No,37.0,Medium
STU0041,Imo,Public,Male,10,JSS1,0.7,Low,Secondary,7,No,No,No,No,74.0,47.6,55.7,62.1,55.1,No,47.3,Medium
STU0042,Enugu,Private,Male,16,SS2,4.9,Low,Primary,4,No,No,No,No,76.1,59.3,40.9,40.1,46.8,No,49.6,Medium
STU0043,Kano,Public,Male,13,JSS3,2.0,Low,Primary,2,No,No,Yes,No,87.7,45.4,56.8,54.0,52.1,No,22.0,Low
STU0044,Katsina,Public,Female,17,SS2,2.1,Middle,Secondary,0,No,No,No,No,85.9,45.9,53.6,54.4,51.3,No,38.1,Medium
STU0045,Kaduna,Public,Male,13,JSS1,0.9,Middle,Secondary,3,No,No,Yes,No,89.0,83.6,63.3,49.9,65.6,Yes,10.6,Low
STU0046,Enugu,Public,Male,15,JSS1,3.0,Low,Primary,0,No,No,Yes,Yes,65.8,52.8,53.4,44.0,50.1,No,58.3,Medium
STU0047,Delta,Private,Female,10,SS3,3.4,Low,Secondary,1,Yes,No,Yes,No,65.9,17.1,48.2,53.2,39.5,Yes,75.7,High
STU0048,Borno,Public,Female,10,JSS2,4.9,Low,Primary,4,Yes,No,Yes,No,66.5,72.7,47.5,53.2,57.8,No,45.8,Medium
STU0049,Edo,Public,Female,17,JSS3,6.7,Middle,Tertiary,3,No,No,Yes,No,86.0,64.7,77.7,74.5,72.3,Yes,20.6,Low
STU0050,Kano,Private,Male,13,SS2,2.1,Low,Tertiary,6,Yes,No,Yes,No,75.9,44.8,55.9,70.0,56.9,No,50.6,Medium
STU0051,Lagos,Public,Male,18,SS3,1.5,Low,Secondary,5,No,No,Yes,No,90.0,78.8,67.5,78.4,74.9,No,14.1,Low
STU0052,Kaduna,Public,Female,16,SS1,1.6,Low,None,6,No,No,Yes,No,83.2,36.5,41.1,46.6,41.4,Yes,41.5,Medium
STU0053,Delta,Public,Male,12,SS1,1.7,Low,Primary,7,No,No,Yes,No,86.2,58.7,58.4,46.7,54.6,Yes,18.2,Low
STU0054,Oyo,Public,Female,11,JSS3,2.0,Middle,Secondary,7,No,No,Yes,No,90.7,74.6,60.9,71.8,69.1,Yes,17.8,Low
STU0055,Kano,Public,Male,10,SS1,2.6,Low,Tertiary,6,Yes,No,No,No,70.0,59.6,49.6,48.4,52.5,No,78.9,High
STU0056,Sokoto,Private,Male,16,JSS2,2.7,High,Secondary,6,Yes,No,Yes,No,86.2,71.2,58.1,53.3,60.9,No,36.7,Medium
STU0057,Lagos,Public,Female,11,JSS3,2.5,Middle,Secondary,6,Yes,No,Yes,No,83.4,44.1,60.6,65.8,56.8,Yes,40.2,Medium
STU0058,Rivers,Public,Female,10,SS1,4.0,Low,Secondary,7,Yes,No,Yes,No,68.9,71.2,54.5,51.8,59.2,Yes,55.8,Medium
STU0059,Kano,Public,Female,18,SS2,0.7,Low,Tertiary,6,Yes,No,Yes,No,78.1,60.9,61.6,67.8,63.4,No,54.6,Medium
STU0060,Plateau,Public,Male,18,JSS2,5.8,Low,Primary,5,No,No,Yes,No,88.3,67.0,84.2,59.7,70.3,No,11.5,Low
STU0061,Lagos,Public,Female,15,JSS3,0.6,Middle,Secondary,3,No,No,No,No,89.6,67.9,47.6,56.2,57.2,No,9.0,Low
STU0062,Kaduna,Public,Female,14,SS3,0.8,Low,Secondary,0,Yes,No,Yes,No,67.7,72.1,60.6,62.5,65.1,No,55.8,Medium
STU0063,Benue,Private,Female,10,SS1,1.9,Low,Primary,4,No,No,Yes,No,81.9,59.9,69.5,48.2,59.2,Yes,31.8,Low
STU0064,Plateau,Public,Female,10,SS2,2.2,Middle,None,7,No,No,Yes,No,92.0,63.3,57.4,68.0,62.9,No,-2.6,Low
STU0065,Plateau,Private,Female,11,SS1,5.7,High,Primary,0,No,No,Yes,Yes,82.9,53.5,56.5,36.4,48.8,No,30.5,Low
STU0066,Ogun,Public,Female,12,JSS1,6.0,Low,Primary,4,Yes,No,No,No,72.7,43.5,40.6,33.8,39.3,Yes,91.3,High
STU0067,Borno,Private,Male,12,JSS2,2.1,Low,Secondary,6,No,No,Yes,No,92.4,43.3,72.2,63.5,59.7,No,17.5,Low
STU0068,Ogun,Public,Male,13,SS3,2.9,Low,Primary,6,No,No,Yes,No,73.8,75.2,50.7,56.9,60.9,No,35.3,Medium
STU0069,Delta,Public,Male,15,SS1,5.3,High,Secondary,0,No,No,Yes,No,98.2,78.9,66.9,68.4,71.4,Yes,-1.2,Low
STU0070,Plateau,Public,Male,15,SS1,1.3,Low,Tertiary,1,No,No,Yes,No,83.8,85.1,79.3,69.7,78.0,No,20.4,Low
STU0071,Benue,Private,Female,13,SS3,0.8,Low,Tertiary,3,No,No,No,No,89.2,58.4,79.3,71.7,69.8,No,15.9,Low
STU0072,Ogun,Public,Female,16,SS2,1.1,Low,None,5,No,No,No,No,85.1,34.3,50.2,38.5,41.0,Yes,49.2,Medium
STU0073,Lagos,Private,Male,14,SS3,2.4,Middle,Secondary,3,No,No,Yes,No,100.0,74.9,68.9,65.0,69.6,No,12.5,Low
STU0074,Anambra,Public,Male,15,JSS2,2.7,Low,Primary,4,No,No,Yes,No,84.7,53.9,51.7,57.1,54.2,Yes,40.0,Medium
STU0075,Edo,Public,Female,13,JSS1,2.2,Middle,Primary,0,No,No,Yes,No,79.9,73.2,49.0,48.1,56.8,No,7.1,Low
STU0076,Plateau,Public,Female,10,JSS1,10.9,Low,Secondary,0,Yes,No,Yes,No,57.1,46.5,69.5,51.6,55.9,No,79.1,High
STU0077,Imo,Public,Male,13,SS2,3.2,Low,None,3,Yes,No,Yes,No,79.8,55.4,41.9,21.1,39.5,No,62.7,Medium
STU0078,Benue,Public,Female,15,SS1,1.8,Low,None,7,No,No,Yes,No,85.4,48.4,59.5,61.7,56.5,No,17.6,Low
STU0079,Delta,Public,Female,10,JSS2,5.6,Middle,Tertiary,2,No,No,Yes,No,79.3,85.8,60.8,70.5,72.4,No,22.6,Low
STU0080,Katsina,Private,Male,18,SS2,5.6,Low,Secondary,3,No,No,No,No,75.8,65.2,48.7,51.5,55.1,Yes,40.0,Medium
STU0081,Imo,Public,Female,12,SS2,1.4,Low,Primary,0,Yes,Yes,Yes,No,79.1,62.4,85.9,53.8,67.4,No,45.6,Medium
STU0082,Imo,Public,Male,16,JSS3,11.4,Middle,Secondary,4,No,No,No,Yes,59.4,47.8,49.3,32.4,43.2,No,69.2,High
STU0083,Rivers,Public,Male,14,SS1,6.2,Low,Primary,2,No,No,Yes,No,71.8,55.5,57.2,56.8,56.5,Yes,50.7,Medium
STU0084,Plateau,Public,Female,13,SS1,2.1,Low,Tertiary,4,No,No,Yes,No,78.7,66.5,72.3,72.3,70.4,No,20.5,Low
STU0085,Plateau,Private,Female,14,JSS1,7.2,Low,Secondary,6,No,No,Yes,No,70.0,63.3,65.6,62.4,63.8,Yes,52.6,Medium
STU0086,Katsina,Public,Male,18,SS3,1.0,Low,Tertiary,4,No,No,Yes,No,93.6,78.4,85.6,79.3,81.1,No,14.4,Low
STU0087,Oyo,Public,Male,12,SS1,2.0,Low,Primary,6,Yes,No,Yes,No,72.2,33.5,51.3,55.4,46.7,No,52.9,Medium
STU0088,Enugu,Public,Female,15,JSS2,2.7,Middle,Secondary,7,No,No,No,No,76.6,45.8,56.8,35.0,45.9,No,27.9,Low
STU0089,Edo,Public,Female,12,SS1,2.3,High,Primary,7,Yes,No,No,No,71.6,41.5,45.9,29.9,39.1,No,68.4,High
STU0090,Oyo,Public,Female,10,SS1,2.2,Low,Primary,1,No,No,Yes,No,97.4,85.4,51.5,70.2,69.0,No,14.4,Low
STU0091,Enugu,Public,Female,10,JSS2,2.2,Low,Tertiary,7,No,No,Yes,No,79.3,79.3,75.6,68.7,74.5,No,14.6,Low
STU0092,Imo,Public,Female,13,SS3,1.1,Low,Primary,4,Yes,No,Yes,No,70.5,50.8,37.7,53.7,47.4,Yes,58.8,Medium
STU0093,Delta,Public,Female,12,JSS3,1.3,Middle,Primary,5,No,Yes,Yes,No,87.2,60.2,59.6,55.2,58.3,Yes,10.8,Low
STU0094,Oyo,Public,Female,14,JSS1,3.9,Middle,Primary,3,No,No,No,No,83.7,36.3,61.5,27.6,41.8,Yes,61.9,Medium
STU0095,Plateau,Private,Female,14,JSS2,5.5,Low,Primary,1,Yes,No,Yes,No,59.8,49.8,29.8,35.1,38.2,No,69.1,High
STU0096,Kaduna,Public,Female,13,JSS2,6.3,Low,Secondary,4,Yes,No,No,No,61.0,52.5,28.9,23.1,34.8,No,90.0,High
STU0097,Borno,Public,Female,16,SS2,4.0,Middle,Tertiary,6,No,No,No,No,82.4,63.2,67.5,70.9,67.2,No,7.6,Low
STU0098,Imo,Public,Male,12,SS1,1.2,Middle,Primary,4,No,No,Yes,No,91.8,62.2,52.4,61.6,58.7,Yes,11.3,Low
STU0099,Sokoto,Public,Female,10,JSS3,0.8,Low,Primary,0,No,Yes,No,No,87.9,72.5,61.0,58.4,64.0,No,26.6,Low
STU0100,Benue,Public,Male,17,JSS1,3.8,Low,Primary,5,Yes,No,Yes,No,63.8,34.0,56.4,40.6,43.7,No,78.1,High
STU0101,Kaduna,Private,Male,17,SS3,1.2,Middle,Secondary,7,Yes,No,No,No,76.1,39.9,40.1,50.2,43.4,No,62.7,Medium
STU0102,Delta,Private,Male,15,JSS3,7.7,Middle,Secondary,6,No,No,Yes,No,87.9,72.5,73.2,61.0,68.9,Yes,21.9,Low
STU0103,Katsina,Private,Male,14,JSS1,1.2,Middle,Secondary,0,No,No,Yes,No,92.6,71.4,74.9,77.4,74.6,No,6.8,Low
STU0104,Rivers,Private,Female,13,SS2,3.6,Middle,Tertiary,4,No,Yes,Yes,Yes,87.4,72.4,71.2,59.9,67.8,No,6.9,Low
STU0105,Plateau,Public,Female,16,SS2,2.8,Middle,None,5,No,No,No,No,90.6,41.0,55.9,52.3,49.7,No,17.8,Low
STU0106,Anambra,Private,Male,13,JSS2,5.6,Low,Tertiary,0,No,No,Yes,No,77.7,65.4,70.6,78.4,71.5,Yes,32.1,Low
STU0107,Sokoto,Private,Male,13,JSS1,0.6,Low,Primary,0,No,No,Yes,No,81.9,63.7,50.5,34.2,49.5,No,40.7,Medium
STU0108,Oyo,Public,Female,16,SS3,5.8,High,Tertiary,3,No,No,Yes,No,88.0,80.2,83.8,69.5,77.8,Yes,13.8,Low
STU0109,Rivers,Public,Female,15,JSS2,1.6,Low,Tertiary,0,No,Yes,Yes,No,83.8,63.8,56.5,62.8,61.0,No,26.4,Low
STU0110,Anambra,Public,Female,17,SS1,14.4,Low,Secondary,1,Yes,No,Yes,No,60.3,53.9,48.5,40.6,47.7,No,80.8,High
STU0111,Lagos,Public,Male,11,SS2,6.0,Low,Secondary,0,No,No,Yes,No,81.0,73.1,39.5,52.0,54.9,No,30.3,Low
STU0112,Benue,Public,Male,12,JSS2,1.3,Low,Secondary,6,No,No,No,No,79.0,43.7,57.0,67.2,56.0,No,44.2,Medium
STU0113,Kano,Public,Female,17,JSS3,6.1,Low,Primary,6,No,No,Yes,No,67.3,55.3,55.9,65.0,58.7,No,41.8,Medium
STU0114,Katsina,Private,Female,13,JSS2,3.8,Middle,Primary,4,No,No,No,No,90.5,46.0,45.3,52.4,47.9,Yes,35.4,Medium
STU0115,Oyo,Private,Female,12,SS3,3.0,Middle,Tertiary,7,No,No,Yes,No,91.0,65.9,67.6,77.2,70.2,Yes,14.4,Low
STU0116,Enugu,Public,Female,11,JSS1,2.0,Middle,Secondary,1,No,No,Yes,No,88.4,60.7,82.1,67.2,70.0,Yes,15.4,Low
STU0117,Delta,Public,Female,10,SS3,14.0,Middle,Secondary,2,Yes,No,Yes,No,67.4,43.3,50.1,45.4,46.3,No,61.7,Medium
STU0118,Kaduna,Public,Male,13,SS2,5.6,High,Tertiary,2,No,No,Yes,No,81.6,54.7,55.0,62.6,57.4,Yes,12.6,Low
STU0119,Rivers,Private,Female,13,JSS3,0.6,Low,Primary,5,Yes,No,Yes,No,76.8,56.8,40.3,59.5,52.2,No,57.9,Medium
STU0120,Ogun,Public,Male,13,SS2,0.5,Low,Primary,7,Yes,No,Yes,No,70.1,54.8,62.6,42.7,53.4,Yes,63.9,Medium
STU0121,Benue,Public,Male,10,SS2,1.6,Low,Primary,5,No,No,Yes,No,77.7,59.3,65.7,60.0,61.7,No,36.6,Medium
STU0122,Imo,Public,Female,18,SS1,1.2,Low,Primary,4,No,No,Yes,No,99.8,55.0,64.0,60.1,59.7,No,-7.8,Low
STU0123,Kano,Public,Male,10,JSS1,8.3,Low,Primary,1,Yes,No,Yes,No,62.5,24.9,49.1,31.2,35.1,Yes,86.0,High
STU0124,Enugu,Private,Male,17,SS3,1.9,Low,None,4,Yes,No,Yes,Yes,54.2,47.0,31.9,45.2,41.4,No,84.0,High
STU0125,Delta,Public,Male,12,SS2,1.1,Low,Tertiary,7,Yes,No,No,No,57.3,54.8,40.0,45.3,46.7,Yes,84.1,High
STU0126,Kano,Public,Female,10,SS3,1.0,Low,Primary,3,No,No,Yes,No,80.2,52.6,71.9,69.1,64.5,No,39.2,Medium
STU0127,Plateau,Public,Female,15,JSS3,1.2,Low,Primary,5,Yes,No,Yes,No,61.5,38.8,71.1,38.4,49.4,Yes,70.4,High
STU0128,Imo,Public,Female,15,JSS1,2.5,Middle,Secondary,2,Yes,No,No,No,66.1,37.3,28.6,62.8,42.9,No,58.2,Medium
STU0129,Anambra,Public,Female,18,JSS2,3.1,Low,Primary,1,Yes,No,Yes,No,63.8,41.8,45.6,42.5,43.3,No,68.9,High
STU0130,Ogun,Public,Male,14,SS3,3.5,Low,Tertiary,5,No,No,Yes,No,79.9,69.8,64.0,66.7,66.8,Yes,34.2,Low
STU0131,Enugu,Private,Male,12,JSS2,2.6,Low,Secondary,5,Yes,No,Yes,No,54.4,36.6,47.9,48.4,44.3,Yes,72.1,High
STU0132,Lagos,Public,Female,13,SS3,3.2,High,Secondary,4,No,No,Yes,No,93.5,60.6,61.3,64.8,62.2,Yes,4.6,Low
STU0133,Edo,Private,Female,10,JSS3,2.6,Middle,None,6,No,No,No,No,77.8,31.0,40.1,55.4,42.2,No,45.0,Medium
STU0134,Kaduna,Public,Male,14,JSS3,2.6,Middle,Primary,5,Yes,No,Yes,No,76.6,56.8,45.9,52.3,51.7,No,44.5,Medium
STU0135,Katsina,Public,Male,13,JSS2,5.5,Low,Primary,6,No,No,Yes,No,78.3,66.7,77.3,43.5,62.5,No,33.1,Low
STU0136,Imo,Public,Female,10,SS2,1.5,Middle,Primary,6,No,No,Yes,No,98.7,83.9,60.9,71.8,72.2,Yes,11.2,Low
STU0137,Ogun,Public,Female,18,JSS2,11.5,Low,Primary,6,No,No,No,Yes,66.6,28.7,43.9,42.5,38.4,No,78.8,High
STU0138,Kano,Public,Female,15,SS1,4.0,Low,Secondary,4,No,Yes,No,No,70.4,49.8,51.2,66.9,56.0,No,51.1,Medium
STU0139,Edo,Public,Female,17,SS2,1.7,Low,Primary,7,Yes,No,Yes,Yes,70.0,51.0,32.5,48.8,44.1,Yes,68.8,High
STU0140,Sokoto,Public,Male,13,SS3,4.5,Middle,None,5,No,No,Yes,No,78.8,43.3,54.0,53.6,50.3,No,33.9,Low
STU0141,Imo,Public,Female,18,JSS2,0.5,Middle,Primary,1,No,No,Yes,No,85.6,84.1,63.5,56.0,67.9,Yes,14.8,Low
STU0142,Kano,Public,Female,12,JSS2,2.2,Low,Tertiary,3,No,No,Yes,No,76.3,60.0,71.6,72.0,67.9,Yes,30.2,Low
STU0143,Benue,Private,Male,18,SS1,5.8,Low,None,3,No,No,Yes,No,78.2,64.2,55.0,42.8,54.0,No,40.8,Medium
STU0144,Oyo,Private,Female,18,JSS1,4.2,Middle,Secondary,3,No,No,Yes,No,79.4,76.3,70.6,72.3,73.1,Yes,11.0,Low
STU0145,Benue,Public,Male,14,SS1,0.7,Low,Primary,5,No,No,Yes,No,86.0,58.0,63.9,66.0,62.6,No,28.4,Low
STU0146,Oyo,Public,Male,13,JSS1,5.5,Low,Primary,6,No,No,Yes,No,77.3,63.5,61.7,51.3,58.8,Yes,31.2,Low
STU0147,Kaduna,Public,Male,16,JSS2,0.5,Low,Primary,2,No,No,No,No,87.0,52.0,33.7,56.1,47.3,Yes,42.8,Medium
STU0148,Kano,Public,Male,16,SS1,16.7,Middle,Secondary,6,No,No,Yes,No,74.5,59.8,54.3,53.2,55.8,Yes,34.9,Low
STU0149,Borno,Private,Male,12,SS2,4.0,Low,Tertiary,6,Yes,No,No,No,71.1,41.6,42.6,49.3,44.5,No,78.2,High
STU0150,Oyo,Public,Male,10,SS3,1.5,High,Secondary,4,No,No,Yes,No,94.5,71.6,83.5,65.1,73.4,No,-4.4,Low
STU0151,Enugu,Public,Female,10,SS2,3.1,Low,Tertiary,6,Yes,No,Yes,No,69.9,63.5,55.0,42.0,53.5,No,61.3,Medium
STU0152,Borno,Public,Female,11,JSS3,11.2,Middle,Primary,1,No,No,Yes,No,75.7,63.4,42.3,44.7,50.1,No,42.5,Medium
STU0153,Enugu,Private,Female,14,JSS1,9.6,Low,Primary,1,No,Yes,No,No,77.8,51.6,41.5,40.8,44.6,No,85.9,High
STU0154,Anambra,Public,Female,14,SS1,2.6,Low,None,1,Yes,No,Yes,No,61.4,55.0,27.8,32.1,38.3,No,74.4,High
STU0155,Oyo,Public,Male,18,JSS3,1.2,Low,None,1,No,No,Yes,No,72.1,67.9,59.2,44.2,57.1,Yes,45.4,Medium
STU0156,Borno,Private,Male,13,SS3,3.3,Middle,Tertiary,4,No,No,Yes,No,87.5,46.3,73.4,74.7,64.8,Yes,17.1,Low
STU0157,Kano,Private,Female,13,JSS2,3.2,Low,Tertiary,7,Yes,No,Yes,No,84.0,73.7,62.4,57.6,64.6,No,37.3,Medium
STU0158,Kaduna,Public,Male,15,JSS3,1.4,Middle,Tertiary,6,No,No,No,No,81.9,51.9,50.2,54.8,52.3,No,25.0,Low
STU0159,Oyo,Private,Female,14,SS3,2.2,Low,None,6,No,No,Yes,No,86.0,56.9,39.0,61.8,52.6,No,27.2,Low
STU0160,Lagos,Public,Male,10,SS1,4.7,High,Tertiary,7,No,No,Yes,No,91.3,69.5,82.1,68.0,73.2,No,7.9,Low
STU0161,Kaduna,Private,Male,16,JSS1,2.8,Low,Primary,3,No,No,Yes,Yes,64.8,48.9,60.3,56.2,55.1,No,68.4,High
STU0162,Enugu,Public,Female,12,SS3,7.9,High,Primary,0,No,No,Yes,No,86.5,70.6,65.2,64.9,66.9,No,7.5,Low
STU0163,Katsina,Private,Male,13,JSS2,3.3,Middle,None,5,No,No,Yes,No,94.4,56.9,43.5,62.8,54.4,Yes,10.2,Low
STU0164,Enugu,Public,Female,16,SS3,4.4,High,Secondary,6,No,No,No,No,81.5,54.0,50.6,56.2,53.6,No,33.6,Low
STU0165,Kano,Public,Male,10,JSS1,1.3,Low,Primary,0,No,No,Yes,No,85.3,48.9,57.4,50.4,52.2,No,23.4,Low
STU0166,Kano,Public,Female,12,SS3,2.6,Low,Secondary,7,No,No,Yes,No,81.6,62.2,66.1,79.0,69.1,No,34.4,Low
STU0167,Edo,Public,Male,16,SS1,11.6,Low,Secondary,3,No,No,Yes,No,72.1,82.0,51.6,70.7,68.1,No,46.5,Medium
STU0168,Delta,Private,Female,17,JSS3,4.4,Low,Secondary,1,No,No,Yes,No,81.9,56.6,56.5,53.3,55.5,Yes,26.8,Low
STU0169,Plateau,Public,Female,10,JSS2,11.1,Middle,None,1,No,No,Yes,No,76.9,65.9,34.9,51.6,50.8,No,44.9,Medium
STU0170,Lagos,Private,Female,18,JSS3,9.1,Low,Tertiary,4,No,No,Yes,No,70.5,74.7,55.3,48.3,59.4,No,28.0,Low
STU0171,Kaduna,Private,Female,15,JSS2,1.3,Middle,Secondary,5,No,Yes,Yes,No,92.1,68.2,88.5,59.8,72.2,Yes,5.9,Low
STU0172,Kaduna,Private,Female,11,SS2,4.5,Middle,Tertiary,2,No,Yes,No,No,80.4,47.7,66.4,59.2,57.8,No,32.2,Low
STU0173,Plateau,Public,Female,13,SS2,1.6,Middle,Primary,7,No,No,Yes,No,81.8,58.5,61.6,64.8,61.6,No,21.0,Low
STU0174,Sokoto,Public,Male,14,SS2,2.2,Low,Secondary,7,Yes,No,Yes,No,74.2,56.8,72.2,50.9,60.0,Yes,53.4,Medium
STU0175,Edo,Public,Female,16,JSS1,1.4,Low,Primary,6,No,No,No,No,81.7,52.0,38.9,63.5,51.5,No,37.4,Medium
STU0176,Plateau,Private,Female,10,SS2,2.5,Low,Tertiary,7,No,No,Yes,No,75.9,68.7,52.8,63.3,61.6,No,33.3,Low
STU0177,Sokoto,Public,Male,14,SS2,8.0,Low,Secondary,5,No,No,No,No,70.9,62.8,60.5,42.3,55.2,No,57.1,Medium
STU0178,Plateau,Public,Male,18,SS2,1.3,Middle,Tertiary,7,Yes,No,Yes,No,76.8,64.2,73.4,60.3,66.0,No,39.8,Medium
STU0179,Enugu,Public,Female,12,SS2,2.1,Low,Primary,2,No,No,Yes,Yes,78.2,55.1,67.2,51.1,57.8,No,50.6,Medium
STU0180,Kano,Private,Male,13,JSS1,5.8,Middle,Secondary,4,No,No,No,Yes,64.3,54.9,38.1,62.0,51.7,Yes,48.6,Medium
